Date,Open,High,Low,Close
15/5/2019,9247.150391,9265.650391,9145.799805,9160.099609
16/5/2019,9176.5,9238.950195,9136.400391,9221.650391
17/5/2019,9224.75,9339.349609,9221.599609,9329.700195
20/5/2019,9538.299805,9681.099609,9485.849609,9671.900391
21/5/2019,9701,9713.5,9556.75,9578.849609
22/5/2019,9595.599609,9629.75,9555.799805,9598.200195
23/5/2019,9730,9835.700195,9521.599609,9552.75
24/5/2019,9618.75,9728.799805,9563.599609,9722.049805
27/5/2019,9732.650391,9820.950195,9702.5,9804.900391
28/5/2019,9834.950195,9834.950195,9768.299805,9815.5
29/5/2019,9802.400391,9812,9737.950195,9757.150391
30/5/2019,9762.799805,9827.25,9759.5,9815.299805
31/5/2019,9855.549805,9889.299805,9734.200195,9805.049805
3/6/2019,9827.75,9931.650391,9796.849609,9922.599609
4/6/2019,9898,9941.450195,9865.599609,9876.200195
6/6/2019,9889.549805,9889.549805,9712.049805,9722.5
7/6/2019,9736.049805,9761.75,9653.700195,9735.849609
10/6/2019,9784.450195,9813.650391,9727.900391,9765.849609
11/6/2019,9791.900391,9826.650391,9743.049805,9805.099609
12/6/2019,9801.950195,9802.049805,9727.75,9749.950195
13/6/2019,9727.150391,9758.900391,9668.049805,9747.049805
14/6/2019,9742.799805,9745.150391,9652.599609,9669.950195
17/6/2019,9681.900391,9681.950195,9533.349609,9543.599609
18/6/2019,9547.5,9587.049805,9514.099609,9551.349609
19/6/2019,9592.150391,9634.150391,9476.099609,9526.200195
20/6/2019,9501.549805,9655.25,9476.25,9646
21/6/2019,9641.150391,9641.25,9566.099609,9581.599609
24/6/2019,9585.950195,9605.049805,9543.400391,9564.099609
25/6/2019,9548.650391,9643.75,9525.950195,9632.849609
26/6/2019,9611.950195,9699.650391,9604.150391,9682.799805
27/6/2019,9694.549805,9733.950195,9675.5,9692.349609
28/6/2019,9707.450195,9713.75,9644.099609,9657.950195
1/7/2019,9697,9724.349609,9691.900391,9713
2/7/2019,9734.75,9750.049805,9675.799805,9744.849609
3/7/2019,9762.849609,9774.799805,9731.5,9757.299805
4/7/2019,9767.799805,9793.5,9765.200195,9776.799805
5/7/2019,9793.650391,9805.299805,9644.849609,9657.650391
8/7/2019,9619.400391,9620.900391,9418,9447.799805
9/7/2019,9428.049805,9473.400391,9375.799805,9455.650391
10/7/2019,9443.650391,9482.5,9385.700195,9400.099609
11/7/2019,9447.150391,9475.700195,9414.099609,9466.400391
12/7/2019,9480.049805,9519.75,9448.400391,9457.75
15/7/2019,9499.25,9502.700195,9427.849609,9469.150391
16/7/2019,9473.849609,9533.549805,9456.599609,9529.849609
17/7/2019,9535.25,9563.950195,9520.150391,9543.349609
18/7/2019,9534.150391,9534.5,9447.650391,9456.150391
19/7/2019,9484.549805,9494.900391,9288.799805,9304.650391
22/7/2019,9282.599609,9285.299805,9197.299805,9247.75
23/7/2019,9265.849609,9277.650391,9208.900391,9233.549805
24/7/2019,9228.799805,9256.400391,9134.650391,9160.450195
25/7/2019,9173.75,9232.450195,9148.450195,9159.150391
26/7/2019,9156,9206.700195,9125.349609,9192.599609
29/7/2019,9205.349609,9208.200195,9081.700195,9108.900391
30/7/2019,9123.650391,9165.799805,8995.25,9004.049805
31/7/2019,8963.299805,9058.450195,8928,9044.950195
1/8/2019,9001.700195,9026.150391,8859.549805,8935.75
2/8/2019,8890.5,9007.049805,8821.099609,8943.950195
5/8/2019,8866.900391,8866.900391,8765.200195,8831.950195
6/8/2019,8792.650391,8960.950195,8791.599609,8918.599609
7/8/2019,8928.599609,8953.25,8840.150391,8854.650391
8/8/2019,8888.450195,8998.900391,8844.400391,8979.650391
